PROVINSI;PETUGAS KESEHATAN;PETUGAS PUBLIK;MASYARAKAT UMUM & RENTAN;USIA 12 - 17 TAHUN;LANSIA;latitude;longitude
NUSA TENGGARA TIMUR;42995;342548;1313455;442211;175341;-8,58443000000;120,68900000000
NUSA TENGGARA BARAT;34387;266789;1818464;381891;213241;-8,57106000000;116,29400000000
BALI;51679;940090;1561706;418208;359569;-8,34120000000;115,17900000000
MALUKU;15639;112162;406011;121236;47819;-8,24814000000;128,16100000000
JAWA BARAT;254864;3209257;15558584;3880417;2132216;-7,88129000000;112,61600000000
YOGYAKARTA;54455;576287;1398069;341967;370693;-7,83533000000;110,44300000000
JAWA TENGAH;242386;2577934;12557888;2974256;2425288;-7,29010000000;109,89600000000
JAWA TIMUR;271730;3141455;13548687;3033356;2491971;-6,90763000000;107,63800000000
BANTEN;68350;827969;4013848;874354;399274;-6,25794000000;106,16700000000
DKI JAKARTA;177886;2174174;6179491;1104662;756974;-6,22462000000;106,83700000000
LAMPUNG;46445;396017;2789891;653386;383566;-4,91900000000;105,05900000000
PAPUA;19148;158353;373083;80821;21974;-4,10825000000;138,68900000000
SULAWESI TENGGARA;25616;174762;717283;200218;66263;-4,07460000000;122,11900000000
SULAWESI SELATAN;73249;641400;2692719;703748;363640;-3,74440000000;119,99000000000
BENGKULU;18096;126394;624738;159174;75531;-3,48606000000;102,36800000000
SUMATERA SELATAN;59999;563390;2482158;681627;317832;-3,38240000000;104,07300000000
KEPULAUAN BANGKA BELITUNG;13824;131235;493837;128371;62685;-2,95817000000;106,81900000000
SULAWESI BARAT;10935;98463;372743;95781;37352;-2,69615000000;119,31600000000
MALUKU UTARA;10801;66530;337324;65298;33857;-2,28945000000;125,97600000000
KALIMANTAN TENGAH;24461;234717;770788;207409;74615;-1,84217000000;113,28600000000
JAMBI;29171;338966;1118686;284370;125793;-1,65497000000;102,82300000000
PAPUA BARAT;10302;75971;211951;50531;12562;-1,32525000000;132,82500000000
SULAWESI TENGAH;26636;166272;786357;188698;77784;-1,30097000000;120,15300000000
SUMATERA BARAT;42328;265759;1733961;490366;278300;-0,64261100000;100,61100000000
KEPULAUAN RIAU;20055;354034;754506;197570;65355;-0,14263900000;104,60100000000
KALIMANTAN BARAT;34892;276869;1595838;395148;149328;-0,06364740000;111,30400000000
KALIMANTAN SELATAN;34103;282663;1163336;296696;115668;-0,06364740000;111,30400000000
RIAU;44730;481636;2018493;552146;164045;0,39689200000;101,74500000000
GORONTALO;10298;83802;396017;95915;37401;0,76050100000;122,33100000000
SULAWESI UTARA;26477;194932;780374;190202;145330;0,85303900000;124,44600000000
KALIMANTAN TIMUR;39000;335605;1221247;323053;108508;1,28915000000;116,35400000000
SUMATERA UTARA;94960;1147973;4320027;1419167;648958;2,36304000000;99,21610000000
KALIMANTAN UTARA;8826;57588;241315;59225;19954;3,07309300000;116,04138900000
ACEH;64677;250121;1522459;319456;170926;4,41533000000;96,99560000000
